,zip,num_stations,num_incidents,incidents_to_stations_ratio
0,37013,3,5.0,1.6666666666666667
1,37072,2,0.0,0.0
2,37076,1,0.0,0.0
3,37080,1,0.0,0.0
4,37115,2,3.0,1.5
5,37138,1,3.0,3.0
6,37203,2,3.0,1.5
7,37204,1,3.0,3.0
8,37205,2,0.0,0.0
9,37206,2,2.0,1.0
10,37207,3,0.0,0.0
11,37208,1,3.0,3.0
12,37209,2,1.0,0.5
13,37210,2,7.0,3.5
14,37211,4,1.0,0.25
15,37212,2,0.0,0.0
16,37214,2,0.0,0.0
17,37215,1,3.0,3.0
18,37216,1,0.0,0.0
19,37217,1,1.0,1.0
20,37218,1,0.0,0.0
21,37221,2,2.0,1.0
0,37013,3,5.0,1.6666666666666667
1,37072,2,0.0,0.0
2,37076,1,0.0,0.0
3,37080,1,0.0,0.0
4,37115,2,3.0,1.5
5,37138,1,3.0,3.0
6,37203,2,3.0,1.5
7,37204,1,3.0,3.0
8,37205,2,0.0,0.0
9,37206,2,2.0,1.0
10,37207,3,0.0,0.0
11,37208,1,3.0,3.0
12,37209,2,1.0,0.5
13,37210,2,7.0,3.5
14,37211,4,1.0,0.25
15,37212,2,0.0,0.0
16,37214,2,0.0,0.0
17,37215,1,3.0,3.0
18,37216,1,0.0,0.0
19,37217,1,1.0,1.0
20,37218,1,0.0,0.0
21,37221,2,2.0,1.0
0,37013,3,5.0,1.6666666666666667
1,37072,2,0.0,0.0
2,37076,1,0.0,0.0
3,37080,1,0.0,0.0
4,37115,2,3.0,1.5
5,37138,1,3.0,3.0
6,37203,2,3.0,1.5
7,37204,1,3.0,3.0
8,37205,2,0.0,0.0
9,37206,2,2.0,1.0
10,37207,3,0.0,0.0
11,37208,1,3.0,3.0
12,37209,2,1.0,0.5
13,37210,2,7.0,3.5
14,37211,4,1.0,0.25
15,37212,2,0.0,0.0
16,37214,2,0.0,0.0
17,37215,1,3.0,3.0
18,37216,1,0.0,0.0
19,37217,1,1.0,1.0
20,37218,1,0.0,0.0
21,37221,2,2.0,1.0
0,37013,3,5.0,1.6666666666666667
1,37072,2,0.0,0.0
2,37076,1,0.0,0.0
3,37080,1,0.0,0.0
4,37115,2,3.0,1.5
5,37138,1,3.0,3.0
6,37203,2,3.0,1.5
7,37204,1,3.0,3.0
8,37205,2,0.0,0.0
9,37206,2,2.0,1.0
10,37207,3,0.0,0.0
11,37208,1,3.0,3.0
12,37209,2,1.0,0.5
13,37210,2,7.0,3.5
14,37211,4,1.0,0.25
15,37212,2,0.0,0.0
16,37214,2,0.0,0.0
17,37215,1,3.0,3.0
18,37216,1,0.0,0.0
19,37217,1,1.0,1.0
20,37218,1,0.0,0.0
21,37221,2,2.0,1.0
0,37013,3,5.0,1.6666666666666667
1,37072,2,0.0,0.0
2,37076,1,0.0,0.0
3,37080,1,0.0,0.0
4,37115,2,3.0,1.5
5,37138,1,3.0,3.0
6,37203,2,3.0,1.5
7,37204,1,3.0,3.0
8,37205,2,0.0,0.0
9,37206,2,2.0,1.0
10,37207,3,0.0,0.0
11,37208,1,3.0,3.0
12,37209,2,1.0,0.5
13,37210,2,7.0,3.5
14,37211,4,1.0,0.25
15,37212,2,0.0,0.0
16,37214,2,0.0,0.0
17,37215,1,3.0,3.0
18,37216,1,0.0,0.0
19,37217,1,1.0,1.0
20,37218,1,0.0,0.0
21,37221,2,2.0,1.0
0,37013,3,5.0,1.6666666666666667
1,37072,2,0.0,0.0
2,37076,1,0.0,0.0
3,37080,1,0.0,0.0
4,37115,2,3.0,1.5
5,37138,1,3.0,3.0
6,37203,2,3.0,1.5
7,37204,1,3.0,3.0
8,37205,2,0.0,0.0
9,37206,2,2.0,1.0
10,37207,3,0.0,0.0
11,37208,1,3.0,3.0
12,37209,2,1.0,0.5
13,37210,2,7.0,3.5
14,37211,4,1.0,0.25
15,37212,2,0.0,0.0
16,37214,2,0.0,0.0
17,37215,1,3.0,3.0
18,37216,1,0.0,0.0
19,37217,1,1.0,1.0
20,37218,1,0.0,0.0
21,37221,2,2.0,1.0
0,37013,3,5.0,1.6666666666666667
1,37072,2,0.0,0.0
2,37076,1,0.0,0.0
3,37080,1,0.0,0.0
4,37115,2,3.0,1.5
5,37138,1,3.0,3.0
6,37203,2,3.0,1.5
7,37204,1,3.0,3.0
8,37205,2,0.0,0.0
9,37206,2,2.0,1.0
10,37207,3,0.0,0.0
11,37208,1,3.0,3.0
12,37209,2,1.0,0.5
13,37210,2,7.0,3.5
14,37211,4,1.0,0.25
15,37212,2,0.0,0.0
16,37214,2,0.0,0.0
17,37215,1,3.0,3.0
18,37216,1,0.0,0.0
19,37217,1,1.0,1.0
20,37218,1,0.0,0.0
21,37221,2,2.0,1.0
0,37013,3,5.0,1.6666666666666667
1,37072,2,0.0,0.0
2,37076,1,0.0,0.0
3,37080,1,0.0,0.0
4,37115,2,3.0,1.5
5,37138,1,3.0,3.0
6,37203,2,3.0,1.5
7,37204,1,3.0,3.0
8,37205,2,0.0,0.0
9,37206,2,2.0,1.0
10,37207,3,0.0,0.0
11,37208,1,3.0,3.0
12,37209,2,1.0,0.5
13,37210,2,7.0,3.5
14,37211,4,1.0,0.25
15,37212,2,0.0,0.0
16,37214,2,0.0,0.0
17,37215,1,3.0,3.0
18,37216,1,0.0,0.0
19,37217,1,1.0,1.0
20,37218,1,0.0,0.0
21,37221,2,2.0,1.0
0,37013,3,5.0,1.6666666666666667
1,37072,2,0.0,0.0
2,37076,1,0.0,0.0
3,37080,1,0.0,0.0
4,37115,2,3.0,1.5
5,37138,1,3.0,3.0
6,37203,2,3.0,1.5
7,37204,1,3.0,3.0
8,37205,2,0.0,0.0
9,37206,2,2.0,1.0
10,37207,3,0.0,0.0
11,37208,1,3.0,3.0
12,37209,2,1.0,0.5
13,37210,2,7.0,3.5
14,37211,4,1.0,0.25
15,37212,2,0.0,0.0
16,37214,2,0.0,0.0
17,37215,1,3.0,3.0
18,37216,1,0.0,0.0
19,37217,1,1.0,1.0
20,37218,1,0.0,0.0
21,37221,2,2.0,1.0
0,37013,3,5.0,1.6666666666666667
1,37072,2,0.0,0.0
2,37076,1,0.0,0.0
3,37080,1,0.0,0.0
4,37115,2,3.0,1.5
5,37138,1,3.0,3.0
6,37203,2,3.0,1.5
7,37204,1,3.0,3.0
8,37205,2,0.0,0.0
9,37206,2,2.0,1.0
10,37207,3,0.0,0.0
11,37208,1,3.0,3.0
12,37209,2,1.0,0.5
13,37210,2,7.0,3.5
14,37211,4,1.0,0.25
15,37212,2,0.0,0.0
16,37214,2,0.0,0.0
17,37215,1,3.0,3.0
18,37216,1,0.0,0.0
19,37217,1,1.0,1.0
20,37218,1,0.0,0.0
21,37221,2,2.0,1.0
